College,State,Financial GPA,Financial Grade
Stanford University,CA,4.5,A+
Massachusetts Institute of Technology,MA,4.5,A+
University of Notre Dame,IN,4.5,A+
Princeton University,NJ,4.5,A+
University of Pennsylvania,PA,4.5,A+
Yale University,CT,4.5,A+
Northwestern University,IL,4.5,A+
Dartmouth College,NH,4.5,A+
Columbia University in the City of New York,NY,4.5,A+
Williams College,MA,4.5,A+
Cornell University,NY,4.5,A+
California Institute of Technology,CA,4.5,A+
Rice University,TX,4.5,A+
Hillsdale College,MI,4.5,A+
Carnegie Mellon University,PA,4.5,A+
Washington and Lee University,VA,4.48,A+
Wellesley College,MA,4.48,A+
Brown University,RI,4.46,A+
Duke University,NC,4.45,A+
Washington University in St. Louis,MO,4.45,A+
Carleton College,MN,4.4,A+
Emory University,GA,4.34,A+
Davidson College,NC,4.32,A+
Barnard College,NY,4.31,A+
Bates College,ME,4.31,A+
Harvard University,MA,4.31,A+
Berea College,KY,4.28,A+
Grinnell College,IA,4.28,A+
Bowdoin College,ME,4.22,A+
The Juilliard School,NY,4.22,A+
Johns Hopkins University,MD,4.21,A+
Claremont McKenna College,CA,4.2,A+
University of Richmond,VA,4.19,A+
Wake Forest University,NC,4.19,A+
Wesleyan University,CT,4.16,A
University of Chicago,IL,4.12,A
Colby College,ME,4.09,A
College of the Ozarks,MO,4.04,A
Kansas City Art Institute,MO,4.04,A
Mount Holyoke College,MA,4.03,A
Brigham Young University,UT,4.01,A
Swarthmore College,PA,4.01,A
Tufts University,MA,4.01,A
The New England Conservatory of Music,MA,3.99,A
Hamilton College,NY,3.98,A
Haverford College,PA,3.97,A
Vanderbilt University,TN,3.94,A
Pomona College,CA,3.92,A
The College of Idaho,ID,3.92,A
Brigham Young University-Hawaii,HI,3.9,A
Cooper Union for the Advancement of Science and Art,NY,3.89,A
Harvey Mudd College,CA,3.88,A
Amherst College,MA,3.87,A
Berry College,GA,3.86,A
Scripps College,CA,3.84,A
Wofford College,SC,3.83,A-
Colorado College,CO,3.79,A-
Hollins University,VA,3.79,A-
University of Southern California,CA,3.78,A-
Gallaudet University,DC,3.77,A-
Lafayette College,PA,3.74,A-
Lehigh University,PA,3.72,A-
Wheaton College,IL,3.71,A-
University of the Ozarks,AR,3.67,A-
Bucknell University,PA,3.65,A-
College of the Holy Cross,MA,3.64,A-
Boston College,MA,3.62,A-
Kenyon College,OH,3.61,A-
Vassar College,NY,3.61,A-
Case Western Reserve University,OH,3.59,A-
Rhode Island School of Design,RI,3.58,A-
Furman University,SC,3.55,A-
Colgate University,NY,3.52,A-
Skidmore College,NY,3.52,A-
Goldey-Beacom College,DE,3.47,B+
Midwestern Baptist Theological Seminary,MO,3.46,B+
Rush University,IL,3.46,B+
Sewanee—The University of the South,TN,3.44,B+
Lawrence University,WI,3.43,B+
Pitzer College,CA,3.43,B+
Union College,NY,3.43,B+
Bryn Mawr College,PA,3.42,B+
DePauw University,IN,3.42,B+
Agnes Scott College,GA,3.41,B+
Baptist College of Health Sciences,TN,3.4,B+
Dewey University-Hato Rey,PR,3.4,B+
Johnson University,TN,3.4,B+
Middlebury College,VT,3.4,B+
Oberlin College,OH,3.4,B+
Wabash College,IN,3.38,B+
Saint John's University,MN,3.37,B+
Davis & Elkins College,WV,3.36,B+
